-7.98798	-42.63764	3.17290	-6.66819	-4.10479	6.38916	0.76312	-1.73329	-0.50962	12.60397	2.32724	-8.32123
-9.06850	-41.74975	1.98648	0.68271	-3.28640	7.41988	-0.67420	-9.10369	0.89254	14.79705	2.59725	-6.74825
-5.15716	-41.70133	1.04102	-3.29324	-4.96443	10.50964	2.91057	-7.37546	-0.24989	12.09479	0.73679	-7.90558
-4.41599	-31.84942	1.77615	-3.53518	-4.77987	7.78296	-1.96975	-7.06089	0.85573	9.89839	3.43069	-8.53786
-3.11930	-33.24985	3.53964	-2.38745	-7.40600	5.87132	-1.52381	-7.23418	1.75949	12.98768	4.20599	-11.16888
-9.22305	-36.83036	-2.66492	-6.20325	-6.75945	10.46841	3.52802	-6.53032	2.38377	11.82114	1.69328	-10.62004
-6.54885	-35.22214	0.21872	-1.15199	-8.55238	4.22831	-1.12521	-6.64208	6.87078	11.52053	1.91890	-8.04900
1.07183	-38.77565	-2.65845	-7.67626	-7.63045	11.42348	3.32285	-6.69254	2.41521	11.45964	1.00140	-8.28153
6.39332	-30.57799	3.42025	-2.35158	-5.63244	3.37819	-3.60148	-5.74250	3.42111	11.51716	2.94003	-8.59702
2.47038	-27.76603	-1.94331	-4.29843	-7.29743	8.66403	0.75078	-8.38597	3.26706	9.53791	1.50957	-5.82052
1.40600	-28.66869	-4.90199	-5.40796	-5.87370	9.81768	1.60461	-8.22638	5.04548	10.04039	-2.12676	-6.53374
-6.98849	-23.29554	-3.29215	-3.04485	-4.28947	2.81628	-2.68480	-3.60944	5.70104	9.57572	2.41536	-6.68609
5.29113	-31.22773	-6.06118	-6.85148	-3.68805	10.33094	0.97499	-5.64889	4.30635	9.99752	-2.43530	-5.86274
1.60191	-23.28568	-3.14124	-0.05136	-4.11701	1.55494	-2.83708	-4.81707	6.25383	9.39404	0.18429	-5.28646
6.46421	-24.19427	-6.60598	-6.94047	-1.42141	8.29842	-1.47316	-5.70489	6.37968	6.44422	-3.45105	-2.45598
9.38979	-24.64765	-7.55838	-5.62674	-0.61453	4.84008	-1.71994	-3.87937	5.70040	7.01844	-2.60954	-2.74422
1.25998	-15.70339	-7.28908	-4.02874	0.12408	0.83176	-5.46391	-1.93888	7.17512	6.25549	-0.01283	-3.85120
9.97524	-24.34672	-10.00931	-7.93366	0.62402	5.52475	-0.56158	-1.95202	5.60932	5.97360	-2.33480	-3.38182
0.47311	-19.78947	-6.70767	-1.89684	-3.31676	-0.54372	-2.78464	-0.78423	7.22822	7.87958	-0.27450	-5.81050
4.53718	-23.47851	-9.54068	-7.67354	-1.44893	5.40289	-0.00836	-1.81276	5.00972	6.78410	-1.12724	-4.68501
10.42649	-21.56773	-3.88192	-5.76503	-3.48100	3.34152	-0.47494	-2.47222	2.94088	6.60412	1.02621	-4.32476
